2026-03-16 06:21:09 - legacy_replication - INFO - Config: {
  "model_type": "legacy_replication",
  "batch_size": 512,
  "micro_batch_size": 32,
  "accumulation_steps": 16,
  "effective_batch_size": 512,
  "embedding_size": 256,
  "nhid": 512,
  "nhead": 16,
  "nlayers": 6,
  "ndropout": 0.05,
  "cd_cnt": 75516,
  "target_cd_cnt": 6297,
  "lob_vocab": 4,
  "len_dy": 200,
  "len_cd": 80,
  "optimizer": "SGD",
  "learning_rate": 0.01,
  "momentum": 0.9,
  "scheduler": "CosineAnnealingLR",
  "T_max": 1,
  "loss": "BCEWithLogitsLoss",
  "gradient_clip": 0.25,
  "val_split": 0.1,
  "num_epochs": 1,
  "total_params": 24880025,
  "training_table": "edp-prod-storage.edp_ent_sdoheir_cns.a834793_Combined_All_LOB_o3_train_10pct_sample",
  "train_samples": 1579185,
  "val_samples": 175466,
  "parallel": true,
  "num_gpus": 4,
  "bug_fixes": [
    "no_log_softmax",
    "clip_before_step",
    "no_double_update"
  ],
  "mixed_precision": true,
  "differences_from_moe_framework": {
    "no_mixed_precision": false,
    "no_moe": true,
    "sgd_not_adamw": true,
    "nhid_512_not_1024": true,
    "batch_512_not_32": true
  }
}
2026-03-16 06:21:33 - legacy_replication - DEBUG -     Loss: 0.8047 | R@10: 0.013 | R@20: 0.057 | uR@10: 0.002 | P@10: 0.001 | NDCG@20: 0.004 | PosBrier: 0.2708
2026-03-16 06:23:53 - legacy_replication - DEBUG -     Loss: 0.7986 | R@10: 0.010 | R@20: 0.055 | uR@10: 0.002 | P@10: 0.001 | NDCG@20: 0.004 | PosBrier: 0.2688
2026-03-16 06:24:29 - legacy_replication - DEBUG -     Loss: 0.7859 | R@10: 0.012 | R@20: 0.038 | uR@10: 0.003 | P@10: 0.001 | NDCG@20: 0.003 | PosBrier: 0.2635
2026-03-16 06:25:05 - legacy_replication - DEBUG -     Loss: 0.7715 | R@10: 0.004 | R@20: 0.013 | uR@10: 0.001 | P@10: 0.000 | NDCG@20: 0.001 | PosBrier: 0.2806
2026-03-16 06:25:41 - legacy_replication - DEBUG -     Loss: 0.7548 | R@10: 0.002 | R@20: 0.011 | uR@10: 0.001 | P@10: 0.000 | NDCG@20: 0.001 | PosBrier: 0.2843
2026-03-16 06:26:17 - legacy_replication - DEBUG -     Loss: 0.7422 | R@10: 0.000 | R@20: 0.001 | uR@10: 0.000 | P@10: 0.000 | NDCG@20: 0.000 | PosBrier: 0.2995
2026-03-16 06:27:49 - legacy_replication - DEBUG -     Loss: 0.7308 | R@10: 0.002 | R@20: 0.009 | uR@10: 0.000 | P@10: 0.000 | NDCG@20: 0.000 | PosBrier: 0.2898
2026-03-16 06:28:24 - legacy_replication - DEBUG -     Loss: 0.7206 | R@10: 0.002 | R@20: 0.009 | uR@10: 0.000 | P@10: 0.000 | NDCG@20: 0.001 | PosBrier: 0.2765
2026-03-16 06:29:01 - legacy_replication - DEBUG -     Loss: 0.7097 | R@10: 0.005 | R@20: 0.012 | uR@10: 0.001 | P@10: 0.001 | NDCG@20: 0.001 | PosBrier: 0.2998
2026-03-16 06:29:37 - legacy_replication - DEBUG -     Loss: 0.7014 | R@10: 0.005 | R@20: 0.014 | uR@10: 0.001 | P@10: 0.001 | NDCG@20: 0.001 | PosBrier: 0.2942
2026-03-16 06:30:13 - legacy_replication - DEBUG -     Loss: 0.6937 | R@10: 0.003 | R@20: 0.010 | uR@10: 0.001 | P@10: 0.000 | NDCG@20: 0.001 | PosBrier: 0.3070
